Valor,Fecha
24472.333333333332,2017-01-01T00:00:00Z
23519.5,2017-01-01T01:00:00Z
22026.166666666668,2017-01-01T02:00:00Z
20710.666666666668,2017-01-01T03:00:00Z
19688.666666666668,2017-01-01T04:00:00Z
19237.333333333332,2017-01-01T05:00:00Z
19327.666666666668,2017-01-01T06:00:00Z
19642.833333333332,2017-01-01T07:00:00Z
19611.666666666668,2017-01-01T08:00:00Z
20106,2017-01-01T09:00:00Z
21874.666666666668,2017-01-01T10:00:00Z
23317.666666666668,2017-01-01T11:00:00Z
24034,2017-01-01T12:00:00Z
24600,2017-01-01T13:00:00Z
24761.333333333332,2017-01-01T14:00:00Z
23514.5,2017-01-01T15:00:00Z
22965.833333333332,2017-01-01T16:00:00Z
23386.333333333332,2017-01-01T17:00:00Z
26048,2017-01-01T18:00:00Z
27576.166666666668,2017-01-01T19:00:00Z
28593.833333333332,2017-01-01T20:00:00Z
29218.166666666668,2017-01-01T21:00:00Z
28699.166666666668,2017-01-01T22:00:00Z
26576.333333333332,2017-01-01T23:00:00Z
23985.666666666668,2017-01-02T00:00:00Z
21763,2017-01-02T01:00:00Z
20499,2017-01-02T02:00:00Z
19888.166666666668,2017-01-02T03:00:00Z
19728.833333333332,2017-01-02T04:00:00Z
20348.5,2017-01-02T05:00:00Z
22497.5,2017-01-02T06:00:00Z
25619.333333333332,2017-01-02T07:00:00Z
28325.333333333332,2017-01-02T08:00:00Z
30537.5,2017-01-02T09:00:00Z
32682.5,2017-01-02T10:00:00Z
33485.166666666664,2017-01-02T11:00:00Z
33379.333333333336,2017-01-02T12:00:00Z
33489.5,2017-01-02T13:00:00Z
32752.333333333332,2017-01-02T14:00:00Z
31892.166666666668,2017-01-02T15:00:00Z
31505.333333333332,2017-01-02T16:00:00Z
32065.333333333332,2017-01-02T17:00:00Z
33919.5,2017-01-02T18:00:00Z
34666,2017-01-02T19:00:00Z
34945.833333333336,2017-01-02T20:00:00Z
34702,2017-01-02T21:00:00Z
32893.5,2017-01-02T22:00:00Z
30007,2017-01-02T23:00:00Z
27282.166666666668,2017-01-03T00:00:00Z
24921.833333333332,2017-01-03T01:00:00Z
23312.333333333332,2017-01-03T02:00:00Z
22796.166666666668,2017-01-03T03:00:00Z
22501,2017-01-03T04:00:00Z
23124.666666666668,2017-01-03T05:00:00Z
25237.666666666668,2017-01-03T06:00:00Z
28837.5,2017-01-03T07:00:00Z
32060.166666666668,2017-01-03T08:00:00Z
34599.166666666664,2017-01-03T09:00:00Z
36049.333333333336,2017-01-03T10:00:00Z
36251.333333333336,2017-01-03T11:00:00Z
35633,2017-01-03T12:00:00Z
35530.666666666664,2017-01-03T13:00:00Z
34437.833333333336,2017-01-03T14:00:00Z
33469.833333333336,2017-01-03T15:00:00Z
33112,2017-01-03T16:00:00Z
33559.666666666664,2017-01-03T17:00:00Z
35395.166666666664,2017-01-03T18:00:00Z
35992.166666666664,2017-01-03T19:00:00Z
36210.333333333336,2017-01-03T20:00:00Z
35736.5,2017-01-03T21:00:00Z
33674.333333333336,2017-01-03T22:00:00Z
30682.833333333332,2017-01-03T23:00:00Z
27880.166666666668,2017-01-04T00:00:00Z
25494,2017-01-04T01:00:00Z
