,open_USD,high_USD,low_USD,close_USD,volume
2021-01-30,34246.28,34933.0,32825.0,34218.54,43072
2021-01-29,33368.18,38531.9,31915.4,34252.2,231827
2021-01-28,30362.19,33783.98,29842.1,33364.86,92621
2021-01-27,32464.01,32557.29,29241.72,30366.15,95911
2021-01-26,32254.19,32921.88,30837.37,32467.77,84972
2021-01-25,32259.45,34875.0,31910.0,32254.2,88499
2021-01-24,32078.0,33071.0,30900.0,32259.9,57978
2021-01-23,32950.0,33456.0,31390.16,32078.0,64595
2021-01-22,30851.99,33826.53,28850.0,32945.17,142971
2021-01-21,35468.23,35600.0,30071.0,30850.13,131803
2021-01-20,35901.94,36415.31,33400.0,35468.23,89368
2021-01-19,36622.46,37850.0,35844.06,35891.49,79611
2021-01-18,35824.99,37469.83,34800.0,36631.27,70698
2021-01-17,35994.98,36852.5,33850.0,35828.61,80157
2021-01-16,36737.43,37950.0,35357.8,35994.98,86348
2021-01-15,39145.21,39747.76,34408.0,36742.22,118300
2021-01-14,37371.38,40100.0,36701.23,39144.5,102950
2021-01-13,34049.15,37850.0,32380.0,37371.38,124477
2021-01-12,35410.37,36628.0,32531.0,34051.24,133948
2021-01-11,38150.02,38264.74,30420.0,35404.47,249131
2021-01-10,40088.22,41350.0,35111.11,38150.02,118209
2021-01-09,40586.96,41380.0,38720.0,40088.22,75785
2021-01-08,39432.48,41950.0,36500.0,40582.81,139789
2021-01-07,36769.36,40365.0,36300.0,39432.28,132825
2021-01-06,33949.53,36939.21,33288.0,36769.36,127139
2021-01-05,31989.75,34360.0,29900.0,33949.53,116049
2021-01-04,33000.05,33600.0,28130.0,31988.71,140899
2021-01-03,32176.45,34778.11,31962.99,33000.05,120957
2021-01-02,29331.7,33300.0,28946.53,32178.33,129993
2021-01-01,28923.63,29600.0,28624.57,29331.69,54182
2020-12-31,28875.55,29300.0,27850.0,28923.63,75508
2020-12-30,27385.0,28996.0,27320.0,28875.54,95356
2020-12-29,27079.42,27410.0,25880.0,27385.0,69411
2020-12-28,26281.54,27500.0,26101.0,27079.41,79721
2020-12-27,26493.4,28422.0,25700.0,26281.66,148455
2020-12-26,24712.47,26867.03,24500.0,26493.39,97806
2020-12-25,23728.99,24789.86,23433.6,24712.47,79519
2020-12-24,23232.39,23794.43,22703.42,23729.2,69013
2020-12-23,23810.79,24100.0,22600.0,23232.76,119047
2020-12-22,22719.88,23837.1,22353.4,23810.79,87033
2020-12-21,23455.54,24102.77,21815.0,22719.71,88030
2020-12-20,23821.6,24295.0,23060.0,23455.52,76690
2020-12-19,23107.39,24171.47,22750.0,23821.61,86045
2020-12-18,22797.15,23285.18,22350.0,23107.39,79646
2020-12-17,21335.52,23800.0,21230.0,22797.16,184882
2020-12-16,19426.43,21560.0,19278.6,21335.52,114306
2020-12-15,19273.69,19570.0,19050.0,19426.43,61834
2020-12-14,19174.99,19349.0,19000.0,19273.14,47257
2020-12-13,18808.69,19411.0,18711.12,19174.99,56560
2020-12-12,18036.53,18948.66,18020.7,18808.69,49519
2020-12-11,18254.81,18292.73,17572.33,18036.53,72610
2020-12-10,18541.29,18557.32,17911.12,18254.63,52890
2020-12-09,18324.11,18639.57,17650.0,18541.28,79585
2020-12-08,19166.9,19294.84,18200.0,18324.11,61626
2020-12-07,19358.67,19420.91,18902.88,19166.9,41372
2020-12-06,19147.66,19420.0,18857.0,19359.4,37043
2020-12-05,18650.51,19177.0,18500.0,19147.66,42922
2020-12-04,19422.34,19527.0,18565.31,18650.52,71283
2020-12-03,19204.08,19598.0,18867.2,19421.9,66689
2020-12-02,18764.96,19342.0,18330.0,19204.09,75911
2020-12-01,19695.87,19888.0,18001.12,18764.96,127698
2020-11-30,18185.0,19863.16,18184.99,19695.87,115463
